$async$or$array AsyncOrArray
$sync$or$array SyncOrArray
$async$or$plane AsyncOrPlane
$sync$or$plane SyncOrPlane
$async$nor$array AsyncNorArray
$sync$nor$array SyncNorArray
$async$nor$plane AsyncNorPlane
$sync$nor$plane SyncNorPlane

reverse Reverse
delete Delete
exists Exists
insert Insert
index Index
map Map
size ArraySize
or Or
and And
xor XOr
sum Sum
product Product
find Find
find_index FindIndex
find_first FindFirst
find_first_index FindFirstIndex
find_last FindLast
find_last_index FindLastIndex
min Min
max Max
min_index MinIndex
max_index MaxIndex
unique Unique
unique_index UniqueIndex
sort Sort
rsort Rsort
shuffle Shuffle
num Num
first First
last Last
next Next
prev Prev
pop_front PopFront
pop_back PopBack
push_front PushFront
push_back PushBack
name Name
len Len
putc Putc
getc Getc
substr Substr
toupper ToUpper
tolower ToLower
compare Compare
icompare ICompare
atoi AToI
atohex AToHex
atooct AToOct
atobin AToBin
atoreal AToReal
itoa IToA
hextoa HexToA
octtoa OctToA
bintoa BinToA
realtoa RealToA
rand_mode RandMode
constraint_mode ConstraintMode

$memory_usage MemoryUsage
$sim_time_ns SimTimeNs
$sim_time_ps SimTimePs
$nclkinfo NClkInfo
$xm_dumpvars XmDumpvars
$nc_query NcQuery
$nc_break NcBreak
$xm_trace_on XmTraceOn
$xm_trace_off XmTraceOff
$xm_assert_on XmAssertOn
$xm_assert_off XmAssertOff
$xm_debug XmDebug
$xm_log XmLog
$nc_set_seed NcSetSeed
$toggle_start ToggleStart
$toggle_stop ToggleStop
$toggle_report ToggleReport
$fsm_start FsmStart
$fsm_stop FsmStop
$fsm_report FsmReport
$glitch_count GlitchCount
$cpu_usage CpuUsage
$profile_start ProfileStart
$profile_stop ProfileStop
$fopen_compress FopenCompress
$fwrite_binary FwriteBinary
$fread_binary FreadBinary
$fflush_all FflushAll
$fsync Fsync
$sukimasim_version_info SukimaSimVersionInfo
$sukimasim_debug_info SukimaSimDebugInfo
$sukimasim_debug_scope SukimaSimDebugScope
$sukimasim_debug_signal SukimaSimDebugSignal
$sukimasim_finish_time SukimaSimFinishTime
$sukimasim_coverage_enable SukimaSimCoverageEnable
$sukimasim_coverage_disable SukimaSimCoverageDisable
$sukimasim_coverage_save_incremental SukimaSimCoverageSaveIncremental
$sukimasim_perf_start SukimaSimPerfStart
$sukimasim_perf_stop SukimaSimPerfStop
$sukimasim_fopen_exclusive SukimaSimFopenExclusive
$sukimasim_dpi_export SukimaSimDpiExport
$sukimasim_dpi_import SukimaSimDpiImport
$sukimasim_vpi_register SukimaSimVpiRegister
$sukimasim_vpi_iterate SukimaSimVpiIterate
$sukimasim_pli_tf_call SukimaSimPliTfCall
$sukimasim_wave_extended SukimaSimWaveExtended
$sukimasim_profile_hier SukimaSimProfileHier
$sukimasim_dist_sim SukimaSimDistSim
$sukimasim_mem_profile SukimaSimMemProfile
$sukimasim_debug_realtime SukimaSimDebugRealtime
$sukimasim_interactive_dbg SukimaSimInteractiveDbg
$sukimasim_assert_advanced SukimaSimAssertAdvanced
$sukimasim_tlm_bridge SukimaSimTlmBridge
$sukimasim_formal_link SukimaSimFormalLink
$nc_get_hostname NcGetHostname
$socket_open SocketOpen
